id,datasettingname,grabdate,grabstatus,rowgrabbed,rowsaved,notehistory
1,GoldTab01,2016/01/05 10:17:58,SUCCESS,10,10,-
1,GoldTab01,2016/01/06 11:26:00,FAILED,0,0,-
