datasettingname,grabdate,grabstatus,rowgrabbed,rowsaved,note,recfile
DATA01,2016-01-06T19:11:29.9778706+07:00,SUCCESS,8.000000,8.000000,,E:\data\vale\historyrec\getgoldshfecom-20160106191131.csv
DATA01,2016-01-06T19:13:31.7390683+07:00,SUCCESS,16.000000,8.000000,,E:\data\vale\historyrec\getgoldshfecom-20160106191335.csv
